Date,Station,pH,DO,BOD,Turbidity,Temperature,WQI
2024-01-01,Station A,7.25,9.75,3.93,6.39,22.34,57.8
2024-01-02,Station A,6.62,9.33,3.4,7.37,20.31,98.5
2024-01-03,Station A,8.16,6.06,1.73,2.65,24.56,76.24
2024-01-04,Station A,7.36,6.46,3.45,2.26,24.38,68.32
2024-01-05,Station A,7.41,8.93,1.8,5.63,28.89,52.32
2024-01-06,Station A,7.72,5.85,1.26,9.54,34.48,90.42
2024-01-07,Station A,7.11,5.49,3.74,4.96,21.83,74.76
2024-01-08,Station A,6.57,9.55,2.04,6.96,24.68,76.0
2024-01-09,Station A,7.59,5.92,4.88,7.98,34.09,94.74
2024-01-10,Station A,7.7,9.61,1.35,2.76,20.68,66.27
2024-01-11,Station A,7.28,6.36,4.31,4.21,24.21,77.13
2024-01-12,Station A,6.78,9.01,1.3,9.88,31.58,59.94
2024-01-13,Station A,6.51,9.08,3.83,7.56,31.57,53.7
2024-01-14,Station A,7.22,5.58,4.45,6.61,24.96,53.18
2024-01-15,Station A,7.12,6.63,3.92,6.74,33.31,73.61
2024-01-16,Station A,6.74,8.57,4.04,6.05,31.56,74.69
2024-01-17,Station A,7.55,7.14,1.1,1.97,20.47,81.82
2024-01-18,Station A,7.13,7.54,4.63,3.24,26.16,87.78
2024-01-19,Station A,6.96,5.38,2.16,2.45,33.95,90.41
2024-01-20,Station A,7.77,9.36,4.21,2.68,33.39,76.97
2024-01-21,Station A,8.11,9.48,2.27,1.99,23.42,71.36
2024-01-22,Station A,8.14,9.3,1.03,5.6,26.26,61.11
2024-01-23,Station A,6.74,6.69,4.77,3.91,27.78,85.15
2024-01-24,Station A,7.23,9.86,4.85,3.27,27.46,65.04
2024-01-25,Station A,7.07,5.18,3.44,5.52,20.77,63.93
2024-01-26,Station A,8.32,6.2,1.58,5.41,34.78,62.1
2024-01-27,Station A,7.84,8.81,1.95,7.55,25.52,81.62
2024-01-28,Station A,7.77,7.68,1.36,8.52,24.81,59.33
2024-01-29,Station A,6.58,7.95,3.71,1.15,27.68,61.32
2024-01-30,Station A,7.79,5.87,3.76,4.48,34.05,56.88
2024-01-31,Station A,7.18,5.57,4.7,8.9,23.87,83.0
2024-02-01,Station A,8.13,7.78,3.12,3.18,21.4,94.86
2024-02-02,Station A,8.3,8.17,2.36,4.14,30.89,94.86
2024-02-03,Station A,8.27,8.9,3.57,1.76,22.42,94.93
2024-02-04,Station A,7.71,5.05,1.41,6.97,20.08,58.04
2024-02-05,Station A,7.6,8.46,3.61,3.02,30.68,61.86
2024-02-06,Station A,7.15,8.73,3.6,8.64,29.86,78.42
2024-02-07,Station A,6.69,6.84,2.06,3.2,34.6,69.65
2024-02-08,Station A,8.28,8.16,4.18,5.52,28.65,74.63
2024-02-09,Station A,6.89,8.61,2.12,1.22,29.68,58.86
2024-02-10,Station A,8.38,9.77,4.66,4.33,20.23,96.42
2024-02-11,Station A,7.36,9.83,4.85,8.68,24.42,69.25
2024-02-12,Station A,8.2,6.58,1.68,6.01,34.04,84.8
2024-02-13,Station A,7.64,5.49,3.46,9.91,22.1,75.92
2024-02-14,Station A,8.25,8.7,3.79,7.32,25.39,64.68
2024-02-15,Station A,8.12,9.05,4.47,9.22,27.67,75.08
2024-02-16,Station A,8.1,8.25,3.81,8.16,33.35,66.9
2024-02-17,Station A,7.25,5.47,3.31,1.32,26.98,77.13
2024-02-18,Station A,7.07,7.95,1.12,1.34,32.34,68.01
2024-02-19,Station A,6.75,7.61,4.08,2.94,29.34,54.27
2024-02-20,Station A,6.6,7.66,3.16,6.74,30.89,98.79
2024-02-21,Station A,7.53,6.61,4.18,3.44,26.58,53.92
2024-02-22,Station A,6.55,9.81,4.34,7.26,26.13,58.66
2024-02-23,Station A,6.81,6.25,3.2,7.43,29.9,64.0
2024-02-24,Station A,8.41,8.69,3.22,6.51,26.29,62.39
2024-02-25,Station A,7.21,8.79,1.06,2.04,20.69,52.04
2024-02-26,Station A,8.21,8.52,2.9,1.88,27.37,73.67
2024-02-27,Station A,6.85,7.17,2.59,6.54,29.53,52.27
2024-02-28,Station A,7.25,8.13,3.01,8.71,29.88,58.15
2024-02-29,Station A,6.64,8.21,1.11,6.27,34.1,78.77
2024-03-01,Station A,7.28,8.22,2.83,5.91,34.12,69.31
2024-03-02,Station A,8.42,9.53,1.78,1.62,21.51,50.91
2024-03-03,Station A,6.69,8.42,1.28,3.87,32.67,51.16
2024-03-04,Station A,8.13,6.41,1.47,7.27,29.43,93.87
2024-03-05,Station A,7.97,9.02,2.13,2.6,31.26,90.34
2024-03-06,Station A,8.48,7.06,2.49,7.99,25.11,96.54
2024-03-07,Station A,8.22,7.14,4.0,7.79,21.55,95.13
2024-03-08,Station A,7.51,9.13,2.28,9.06,25.84,50.54
2024-03-09,Station A,8.31,5.46,2.28,9.55,34.26,78.67
2024-03-10,Station A,7.76,7.24,2.17,3.96,30.09,87.62
2024-03-11,Station A,8.08,8.95,1.36,5.45,20.86,77.48
2024-03-12,Station A,7.38,9.44,2.4,2.05,22.14,88.08
2024-03-13,Station A,7.74,5.51,1.34,7.31,21.09,91.09
2024-03-14,Station A,7.91,5.41,1.34,9.88,25.61,68.53
